fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-07-25;8741;APV;0.31%;2.12%;2.34%;5.57%;2.81%
2023-07-26;8741;APV;0.24%;2.09%;2.07%;5.98%;2.75%
2023-07-27;8741;APV;0.04%;1.96%;1.86%;5.48%;2.50%
2023-07-28;8741;APV;0.48%;1.96%;2.12%;5.45%;2.77%
2023-07-29;8741;APV;0.64%;1.93%;2.11%;5.47%;2.77%
2023-07-30;8741;APV;0.54%;1.91%;2.50%;5.45%;2.78%
2023-07-31;8741;APV;1.46%;2.85%;3.84%;6.40%;3.72%
2023-01-31;8788;APV;0.93%;2.53%;1.39%;8.88%;0.94%
2023-02-01;8788;APV;1.28%;2.89%;1.80%;9.06%;1.31%
2023-02-02;8788;APV;1.70%;3.42%;2.25%;9.26%;1.75%
2023-02-03;8788;APV;1.73%;3.03%;1.94%;9.14%;1.53%
2023-02-04;8788;APV;1.48%;3.10%;2.03%;8.93%;1.54%
2023-02-05;8788;APV;1.44%;3.09%;1.84%;8.92%;1.55%
2023-02-06;8788;APV;0.95%;2.47%;1.23%;8.27%;0.95%
2023-02-07;8788;APV;1.09%;2.57%;1.37%;8.45%;1.11%
2023-02-08;8788;APV;1.33%;2.84%;1.65%;8.29%;1.36%
2023-02-09;8788;APV;1.32%;2.64%;1.79%;7.95%;1.24%
2023-02-10;8788;APV;1.20%;2.29%;1.76%;8.13%;1.09%
2023-02-11;8788;APV;1.31%;2.30%;1.87%;8.50%;1.11%
2023-02-12;8788;APV;1.21%;2.30%;1.80%;8.49%;1.12%
2023-02-13;8788;APV;1.37%;2.51%;2.00%;8.70%;1.34%
2023-02-14;8788;APV;1.40%;2.01%;2.01%;8.66%;1.37%
2023-02-15;8788;APV;1.32%;1.70%;1.92%;8.73%;1.30%
2023-02-16;8788;APV;1.38%;1.47%;1.96%;8.79%;1.33%
2023-02-17;8788;APV;1.46%;1.12%;1.79%;9.02%;1.32%
2023-02-18;8788;APV;1.49%;0.91%;1.47%;9.28%;1.34%
2023-02-19;8788;APV;1.58%;0.91%;1.10%;9.27%;1.35%
2023-02-20;8788;APV;1.36%;1.02%;1.20%;9.37%;1.47%
2023-02-21;8788;APV;0.98%;0.04%;0.81%;8.97%;1.10%
2023-02-22;8788;APV;0.87%;0.09%;1.07%;8.90%;0.99%
2023-02-23;8788;APV;0.53%;0.58%;1.61%;9.03%;1.09%
2023-02-24;8788;APV;-0.11%;0.45%;1.34%;8.22%;0.72%
2023-02-25;8788;APV;-0.15%;0.38%;1.20%;7.79%;0.73%
2023-02-26;8788;APV;-0.29%;0.39%;1.49%;7.78%;0.75%
2023-02-27;8788;APV;-0.53%;0.19%;1.28%;7.55%;0.55%
2023-02-28;8788;APV;-0.40%;0.44%;1.39%;7.73%;0.69%
2023-03-01;8788;APV;-0.52%;0.83%;1.75%;7.78%;0.78%
2023-03-02;8788;APV;-0.93%;0.76%;1.26%;7.66%;0.80%
2023-03-03;8788;APV;-0.89%;0.58%;1.08%;7.68%;0.63%
2023-03-04;8788;APV;-0.88%;0.59%;1.07%;7.81%;0.65%
2023-03-05;8788;APV;-0.87%;0.53%;1.13%;7.80%;0.66%
2023-03-06;8788;APV;-0.24%;0.78%;1.04%;7.83%;0.71%
2023-03-07;8788;APV;-0.53%;0.70%;1.41%;7.68%;0.57%
2023-03-08;8788;APV;-0.91%;0.57%;1.57%;7.68%;0.44%
2023-03-09;8788;APV;-0.92%;0.69%;1.28%;7.21%;0.31%
2023-03-10;8788;APV;-0.77%;0.68%;1.27%;7.17%;0.32%
2023-03-11;8788;APV;-0.78%;0.67%;1.25%;7.34%;0.32%
2023-03-12;8788;APV;-0.79%;0.76%;0.81%;7.34%;0.32%
2023-03-13;8788;APV;-0.77%;0.85%;1.01%;7.58%;0.56%
2023-03-14;8788;APV;-0.80%;0.56%;0.95%;7.68%;0.55%
2023-03-15;8788;APV;-0.76%;0.47%;1.03%;7.66%;0.53%
2023-03-16;8788;APV;-0.89%;0.02%;0.91%;7.37%;0.43%
2023-03-17;8788;APV;-0.94%;-0.05%;0.84%;7.15%;0.37%
2023-03-18;8788;APV;-0.95%;-0.06%;0.82%;6.70%;0.38%
2023-03-19;8788;APV;-0.96%;0.09%;0.80%;6.70%;0.38%
2023-03-20;8788;APV;-1.01%;0.00%;1.05%;6.75%;0.44%
2023-03-21;8788;APV;-0.48%;0.41%;1.19%;6.87%;0.61%
2023-03-22;8788;APV;-0.56%;0.55%;1.35%;6.84%;0.43%
2023-03-23;8788;APV;-0.39%;0.42%;1.51%;7.24%;0.70%
2023-03-24;8788;APV;0.04%;0.46%;1.55%;7.22%;0.76%
2023-03-25;8788;APV;0.03%;0.45%;1.53%;7.24%;0.76%
2023-03-26;8788;APV;0.02%;0.40%;1.44%;7.24%;0.76%
2023-03-27;8788;APV;0.13%;0.35%;1.80%;7.14%;0.68%
2023-03-28;8788;APV;0.10%;0.97%;2.50%;7.49%;0.79%
2023-03-29;8788;APV;0.15%;0.77%;2.93%;7.47%;0.85%
2023-03-30;8788;APV;0.37%;1.06%;3.22%;7.37%;1.06%
2023-03-31;8788;APV;0.48%;1.16%;3.34%;7.27%;1.17%
2023-04-01;8788;APV;0.39%;1.14%;3.32%;7.18%;1.17%
2023-04-02;8788;APV;0.37%;1.13%;3.30%;7.18%;1.18%
2023-04-03;8788;APV;0.61%;1.44%;3.33%;7.24%;1.24%
2023-04-04;8788;APV;0.52%;1.10%;3.49%;7.06%;1.17%
2023-04-05;8788;APV;0.40%;0.96%;3.14%;6.95%;1.07%
2023-04-06;8788;APV;0.60%;1.31%;3.59%;7.08%;1.31%
2023-04-07;8788;APV;0.74%;1.29%;3.70%;6.74%;1.31%
2023-04-08;8788;APV;0.86%;1.28%;3.68%;6.06%;1.31%
2023-04-09;8788;APV;1.00%;1.39%;3.66%;6.05%;1.31%
2023-04-10;8788;APV;0.97%;1.40%;3.62%;6.00%;1.29%
2023-04-11;8788;APV;0.94%;1.47%;4.13%;5.98%;1.27%
2023-04-12;8788;APV;0.89%;1.31%;4.15%;6.20%;1.22%
2023-04-13;8788;APV;0.67%;1.27%;3.64%;5.91%;1.23%
2023-04-14;8788;APV;0.68%;1.27%;3.51%;5.55%;1.24%
2023-04-15;8788;APV;0.73%;1.28%;3.51%;5.54%;1.26%
2023-04-16;8788;APV;0.84%;1.33%;3.52%;5.53%;1.27%
2023-04-17;8788;APV;0.84%;1.35%;2.79%;5.43%;1.21%
2023-04-18;8788;APV;0.84%;1.38%;2.69%;5.45%;1.22%
2023-04-19;8788;APV;0.63%;1.25%;2.54%;5.08%;1.01%
2023-04-20;8788;APV;0.49%;0.83%;2.56%;5.00%;0.94%
2023-04-21;8788;APV;0.16%;0.66%;1.96%;4.99%;0.78%
2023-04-22;8788;APV;0.37%;0.67%;1.96%;4.87%;0.79%
2023-04-23;8788;APV;0.11%;0.24%;1.96%;4.86%;0.81%
2023-04-24;8788;APV;0.02%;-0.04%;1.71%;4.80%;0.78%
2023-04-25;8788;APV;-0.03%;-0.16%;1.89%;4.63%;0.73%
2023-04-26;8788;APV;-0.05%;-0.32%;2.14%;5.04%;0.71%
2023-04-27;8788;APV;0.14%;-0.26%;2.37%;5.09%;0.83%
2023-04-28;8788;APV;0.08%;-0.22%;2.51%;4.82%;0.87%
2023-04-29;8788;APV;0.04%;-0.21%;2.51%;5.11%;0.89%
2023-04-30;8788;APV;-0.15%;0.05%;2.51%;5.10%;0.91%
2023-05-01;8788;APV;-0.25%;-0.38%;2.50%;5.09%;0.93%
2023-05-02;8788;APV;-0.26%;-0.82%;2.57%;5.05%;0.91%
2023-05-03;8788;APV;-0.26%;-0.55%;2.47%;5.09%;0.98%
2023-05-04;8788;APV;-0.20%;-0.56%;2.52%;4.72%;0.97%
2023-05-05;8788;APV;-0.02%;-0.49%;2.58%;4.92%;1.05%
2023-05-06;8788;APV;-0.24%;0.11%;2.58%;5.15%;1.07%
2023-05-07;8788;APV;-0.23%;-0.03%;2.55%;5.14%;1.08%
2023-05-08;8788;APV;-0.02%;-0.07%;2.77%;5.33%;1.29%
2023-05-09;8788;APV;-0.15%;-0.08%;2.57%;5.46%;1.16%
2023-05-10;8788;APV;-0.18%;0.02%;2.31%;5.41%;1.11%
2023-05-11;8788;APV;-0.19%;-0.03%;2.27%;5.50%;1.08%
2023-05-12;8788;APV;-0.17%;-0.07%;2.23%;5.09%;1.05%
2023-05-13;8788;APV;-0.17%;-0.28%;2.23%;4.91%;1.06%
2023-05-14;8788;APV;-0.17%;-0.30%;1.70%;4.90%;1.06%
2023-05-15;8788;APV;-0.16%;-0.21%;1.49%;4.91%;1.09%
2023-05-16;8788;APV;-0.19%;-0.24%;1.23%;4.67%;1.09%
2023-05-17;8788;APV;-0.09%;-0.19%;0.92%;4.44%;1.13%
2023-05-18;8788;APV;-0.07%;-0.19%;0.72%;4.69%;1.15%
2023-05-19;8788;APV;0.14%;-0.20%;0.71%;4.70%;1.15%
2023-05-20;8788;APV;0.22%;-0.30%;0.71%;4.77%;1.16%
2023-05-21;8788;APV;0.39%;0.07%;0.11%;4.75%;1.17%
2023-05-22;8788;APV;0.05%;-0.15%;-0.06%;4.40%;0.85%
2023-05-23;8788;APV;0.02%;-0.26%;0.32%;4.17%;0.83%
2023-05-24;8788;APV;-0.05%;0.02%;0.47%;3.84%;0.74%
2023-05-25;8788;APV;-0.10%;-0.10%;0.28%;3.54%;0.63%
2023-05-26;8788;APV;0.00%;-0.03%;0.36%;3.74%;0.71%
2023-05-27;8788;APV;-0.10%;0.17%;0.35%;3.54%;0.72%
2023-05-28;8788;APV;-0.14%;0.04%;0.48%;3.53%;0.73%
2023-05-29;8788;APV;0.04%;0.24%;0.87%;3.72%;0.93%
2023-05-30;8788;APV;0.10%;0.31%;1.07%;3.64%;1.01%
2023-05-31;8788;APV;-0.12%;0.10%;0.85%;3.51%;0.79%
2023-06-01;8788;APV;0.17%;0.31%;1.14%;3.89%;1.10%
2023-06-02;8788;APV;0.59%;0.70%;1.46%;4.43%;1.50%
2023-06-03;8788;APV;0.53%;0.87%;1.46%;4.54%;1.51%
2023-06-04;8788;APV;0.54%;0.86%;1.46%;4.53%;1.52%
2023-06-05;8788;APV;0.60%;0.98%;1.52%;4.65%;1.65%
2023-06-06;8788;APV;0.68%;1.03%;1.82%;4.65%;1.75%
2023-06-07;8788;APV;0.67%;1.18%;1.89%;4.29%;1.76%
2023-06-08;8788;APV;0.52%;1.37%;1.95%;4.69%;1.82%
2023-06-09;8788;APV;0.81%;1.67%;2.37%;5.09%;1.98%
2023-06-10;8788;APV;0.87%;1.66%;2.36%;4.94%;1.99%
2023-06-11;8788;APV;0.90%;1.67%;2.35%;4.93%;1.99%
2023-06-12;8788;APV;0.56%;1.28%;2.05%;4.52%;1.61%
2023-06-13;8788;APV;0.84%;1.34%;2.20%;4.95%;1.90%
2023-06-14;8788;APV;1.18%;1.69%;2.26%;5.39%;2.26%
2023-06-15;8788;APV;1.44%;2.01%;2.49%;5.50%;2.55%
2023-06-16;8788;APV;1.74%;2.40%;2.43%;5.85%;2.84%
2023-06-17;8788;APV;1.70%;2.46%;2.41%;5.66%;2.84%
2023-06-18;8788;APV;1.68%;2.46%;2.40%;5.65%;2.85%
2023-06-19;8788;APV;1.74%;2.52%;2.62%;5.69%;2.91%
2023-06-20;8788;APV;1.70%;2.43%;2.43%;5.33%;2.88%
2023-06-21;8788;APV;1.70%;2.26%;2.68%;5.32%;2.89%
2023-06-22;8788;APV;1.95%;2.38%;2.94%;4.94%;2.81%
2023-06-23;8788;APV;1.74%;1.87%;2.30%;4.50%;2.59%
2023-06-24;8788;APV;1.84%;1.82%;2.29%;4.00%;2.59%
2023-06-25;8788;APV;1.96%;1.82%;2.28%;3.99%;2.60%
2023-06-26;8788;APV;1.88%;1.82%;2.23%;3.98%;2.60%
2023-06-27;8788;APV;2.08%;2.12%;2.48%;4.18%;2.82%
2023-06-28;8788;APV;1.98%;1.92%;2.91%;4.35%;2.72%
2023-06-29;8788;APV;1.68%;1.76%;2.54%;4.03%;2.62%
2023-06-30;8788;APV;1.79%;1.74%;2.81%;3.95%;2.81%
2023-07-01;8788;APV;1.70%;1.63%;2.79%;3.87%;2.82%
2023-07-02;8788;APV;1.30%;1.63%;2.78%;3.86%;2.82%
2023-07-03;8788;APV;1.56%;1.82%;3.29%;4.11%;3.09%
2023-07-04;8788;APV;1.73%;2.08%;3.21%;4.43%;3.27%
2023-07-05;8788;APV;1.40%;1.98%;2.97%;3.86%;3.07%
2023-07-06;8788;APV;0.95%;1.39%;2.71%;3.06%;2.71%
2023-07-07;8788;APV;0.91%;1.35%;2.66%;2.94%;2.68%
2023-07-08;8788;APV;0.85%;1.35%;2.65%;2.75%;2.68%
2023-07-09;8788;APV;0.69%;1.36%;2.77%;2.74%;2.69%
2023-07-10;8788;APV;0.70%;1.38%;2.81%;2.74%;2.70%
2023-07-11;8788;APV;0.71%;1.43%;2.92%;2.34%;2.71%
2023-07-12;8788;APV;1.31%;1.70%;3.04%;2.34%;2.95%
2023-07-13;8788;APV;1.37%;2.04%;3.33%;2.43%;3.30%
2023-07-14;8788;APV;1.13%;2.14%;3.44%;1.94%;3.41%
2023-07-15;8788;APV;0.84%;2.13%;3.43%;3.04%;3.41%
2023-07-16;8788;APV;0.56%;2.11%;3.47%;3.03%;3.41%
2023-07-17;8788;APV;0.59%;2.21%;3.59%;3.05%;3.45%
2023-07-18;8788;APV;0.80%;2.42%;3.83%;3.90%;3.67%
2023-07-19;8788;APV;0.95%;2.84%;4.13%;4.08%;3.89%
2023-07-20;8788;APV;1.00%;2.95%;3.80%;4.26%;3.91%
2023-07-21;8788;APV;0.58%;2.69%;3.37%;3.65%;3.49%
2023-07-22;8788;APV;0.66%;2.67%;3.36%;3.61%;3.49%
2023-07-23;8788;APV;0.88%;2.66%;2.91%;3.60%;3.49%
2023-07-24;8788;APV;0.80%;2.62%;2.57%;3.52%;3.42%
2023-07-25;8788;APV;0.90%;2.78%;2.61%;3.46%;3.52%
2023-07-26;8788;APV;0.91%;2.81%;2.48%;4.01%;3.54%
2023-07-27;8788;APV;0.70%;2.70%;2.43%;4.09%;3.54%
2023-07-28;8788;APV;0.90%;2.75%;2.52%;4.14%;3.64%
2023-07-29;8788;APV;0.99%;2.73%;2.52%;4.13%;3.64%
2023-07-30;8788;APV;0.81%;2.71%;2.76%;4.11%;3.65%
2023-07-31;8788;APV;0.93%;2.84%;2.80%;4.23%;3.77%
2023-01-31;8846;APV;0.22%;3.98%;3.05%;11.99%;0.25%
2023-02-01;8846;APV;0.20%;3.95%;2.91%;11.81%;0.26%
2023-02-02;8846;APV;0.33%;3.99%;3.04%;11.91%;0.43%
2023-02-03;8846;APV;0.15%;3.69%;3.04%;11.74%;0.24%
2023-02-04;8846;APV;0.23%;3.62%;2.92%;11.61%;0.25%
2023-02-05;8846;APV;0.39%;3.60%;3.09%;11.59%;0.26%
2023-02-06;8846;APV;0.06%;3.32%;2.82%;11.30%;0.03%
2023-02-07;8846;APV;0.03%;3.12%;2.79%;11.33%;0.03%
2023-02-08;8846;APV;-0.02%;2.75%;2.70%;10.95%;0.01%
2023-02-09;8846;APV;-0.10%;2.18%;2.68%;10.94%;-0.04%
2023-02-10;8846;APV;-0.57%;1.35%;2.29%;10.83%;-0.29%
2023-02-11;8846;APV;-0.80%;1.23%;2.55%;11.08%;-0.26%
2023-02-12;8846;APV;-1.04%;1.24%;2.61%;11.06%;-0.24%
2023-02-13;8846;APV;-1.15%;1.02%;2.36%;10.80%;-0.44%
2023-02-14;8846;APV;-1.20%;0.80%;2.28%;10.56%;-0.47%
2023-02-15;8846;APV;-1.26%;0.05%;2.19%;10.66%;-0.51%
2023-02-16;8846;APV;-1.08%;0.10%;2.54%;10.89%;-0.41%
2023-02-17;8846;APV;-1.13%;0.36%;2.85%;10.87%;-0.40%
2023-02-18;8846;APV;-1.10%;0.34%;3.19%;10.93%;-0.37%
2023-02-19;8846;APV;-1.04%;0.35%;3.45%;10.91%;-0.34%
2023-02-20;8846;APV;-0.75%;0.46%;3.54%;11.01%;-0.21%
2023-02-21;8846;APV;-1.05%;-0.25%;3.19%;10.68%;-0.51%
2023-02-22;8846;APV;-0.99%;-0.21%;3.80%;10.73%;-0.43%
2023-02-23;8846;APV;-1.12%;0.02%;3.83%;10.71%;-0.34%
2023-02-24;8846;APV;-0.96%;0.22%;3.72%;10.38%;-0.21%
2023-02-25;8846;APV;-0.88%;0.35%;3.70%;10.49%;-0.18%
2023-02-26;8846;APV;-0.88%;0.35%;3.46%;10.48%;-0.15%
2023-02-27;8846;APV;-0.75%;0.44%;3.53%;10.55%;-0.05%
2023-02-28;8846;APV;-0.75%;0.52%;3.50%;10.38%;-0.02%
2023-03-01;8846;APV;-0.48%;-0.06%;3.10%;9.84%;-0.22%
2023-03-02;8846;APV;-0.89%;-0.53%;2.47%;9.46%;-0.46%
2023-03-03;8846;APV;-0.61%;-0.46%;2.52%;9.62%;-0.37%
2023-03-04;8846;APV;-0.59%;-0.45%;2.50%;9.38%;-0.34%
2023-03-05;8846;APV;-0.57%;-0.44%;2.10%;9.37%;-0.31%
2023-03-06;8846;APV;-0.37%;-0.33%;2.41%;9.29%;-0.35%
2023-03-07;8846;APV;-0.27%;-0.01%;2.82%;9.06%;-0.25%
2023-03-08;8846;APV;-0.21%;0.01%;3.00%;9.03%;-0.21%
2023-03-09;8846;APV;-0.25%;-0.15%;3.01%;8.68%;-0.29%
2023-03-10;8846;APV;0.34%;0.16%;3.32%;8.64%;0.05%
2023-03-11;8846;APV;0.32%;0.13%;3.28%;8.81%;0.05%
2023-03-12;8846;APV;0.30%;0.23%;3.47%;8.81%;0.06%
2023-03-13;8846;APV;1.29%;0.77%;4.06%;9.66%;0.85%
2023-03-14;8846;APV;1.10%;0.49%;3.61%;9.60%;0.62%
2023-03-15;8846;APV;1.56%;1.02%;4.11%;10.50%;1.04%
2023-03-16;8846;APV;1.55%;1.24%;4.17%;10.70%;1.14%
2023-03-17;8846;APV;1.69%;1.36%;4.28%;10.93%;1.29%
2023-03-18;8846;APV;1.67%;1.34%;4.25%;10.91%;1.30%
2023-03-19;8846;APV;1.65%;1.50%;4.21%;10.90%;1.30%
2023-03-20;8846;APV;1.59%;1.53%;4.30%;10.97%;1.37%
2023-03-21;8846;APV;1.83%;1.53%;4.32%;11.02%;1.31%
2023-03-22;8846;APV;1.74%;1.63%;4.85%;11.22%;1.30%
2023-03-23;8846;APV;1.84%;1.77%;5.05%;11.40%;1.49%
2023-03-24;8846;APV;1.93%;1.97%;5.24%;11.72%;1.72%
2023-03-25;8846;APV;1.91%;1.94%;5.21%;11.77%;1.72%
2023-03-26;8846;APV;1.88%;2.03%;5.70%;11.76%;1.73%
2023-03-27;8846;APV;1.46%;1.58%;5.84%;11.40%;1.42%
2023-03-28;8846;APV;1.56%;1.63%;6.16%;11.68%;1.53%
2023-03-29;8846;APV;1.57%;1.58%;6.28%;11.50%;1.55%
2023-03-30;8846;APV;1.78%;1.76%;6.43%;11.36%;1.76%
2023-03-31;8846;APV;1.87%;1.81%;6.52%;10.95%;1.84%
2023-04-01;8846;APV;2.08%;1.78%;6.48%;10.83%;1.85%
2023-04-02;8846;APV;2.33%;1.76%;6.44%;10.82%;1.85%
2023-04-03;8846;APV;2.47%;2.01%;6.60%;11.07%;2.10%
2023-04-04;8846;APV;2.34%;1.97%;6.69%;10.82%;1.99%
2023-04-05;8846;APV;2.19%;1.99%;6.74%;10.69%;1.87%
2023-04-06;8846;APV;2.38%;2.06%;7.22%;10.87%;2.02%
2023-04-07;8846;APV;2.28%;2.03%;7.16%;10.79%;2.03%
2023-04-08;8846;APV;2.25%;2.00%;7.12%;10.32%;2.03%
2023-04-09;8846;APV;2.33%;1.98%;7.08%;10.31%;2.04%
2023-04-10;8846;APV;1.82%;1.59%;6.86%;10.07%;1.87%
2023-04-11;8846;APV;1.59%;1.09%;6.50%;9.72%;1.64%
2023-04-12;8846;APV;1.48%;0.72%;6.28%;9.65%;1.54%
2023-04-13;8846;APV;0.78%;0.91%;6.15%;9.37%;1.64%
2023-04-14;8846;APV;0.98%;0.87%;6.06%;8.99%;1.61%
2023-04-15;8846;APV;0.60%;0.88%;6.05%;8.96%;1.64%
2023-04-16;8846;APV;0.53%;0.99%;6.05%;8.94%;1.67%
2023-04-17;8846;APV;0.21%;0.76%;5.59%;8.70%;1.51%
2023-04-18;8846;APV;0.07%;0.63%;5.46%;8.58%;1.37%
2023-04-19;8846;APV;-0.16%;0.43%;5.40%;8.18%;1.14%
2023-04-20;8846;APV;-0.15%;0.68%;5.66%;8.20%;1.22%
2023-04-21;8846;APV;-0.23%;0.52%;5.16%;8.13%;1.07%
2023-04-22;8846;APV;-0.20%;0.53%;5.16%;8.04%;1.11%
2023-04-23;8846;APV;-0.35%;0.35%;5.16%;8.01%;1.14%
2023-04-24;8846;APV;-0.58%;0.36%;5.15%;7.94%;1.12%
2023-04-25;8846;APV;-0.32%;0.68%;5.33%;8.20%;1.39%
2023-04-26;8846;APV;-0.39%;0.59%;5.19%;8.25%;1.33%
2023-04-27;8846;APV;-0.21%;0.48%;4.93%;7.98%;1.20%
2023-04-28;8846;APV;-0.18%;0.61%;5.22%;7.97%;1.35%
2023-04-29;8846;APV;-0.17%;0.63%;5.21%;8.19%;1.38%
2023-04-30;8846;APV;-0.34%;0.88%;5.21%;8.17%;1.41%
2023-05-01;8846;APV;-0.40%;1.18%;5.18%;8.14%;1.44%
2023-05-02;8846;APV;-0.30%;1.11%;5.14%;8.31%;1.55%
2023-05-03;8846;APV;-0.41%;1.44%;5.18%;8.52%;1.68%
2023-05-04;8846;APV;-0.33%;1.41%;5.07%;8.48%;1.66%
2023-05-05;8846;APV;-0.28%;1.32%;4.96%;8.61%;1.58%
2023-05-06;8846;APV;-0.40%;1.59%;4.96%;8.92%;1.61%
2023-05-07;8846;APV;-0.37%;1.62%;4.79%;8.89%;1.65%
2023-05-08;8846;APV;-0.53%;1.49%;4.28%;8.67%;1.49%
2023-05-09;8846;APV;-0.75%;1.32%;3.53%;8.83%;1.27%
2023-05-10;8846;APV;-0.53%;1.62%;3.00%;8.87%;1.33%
2023-05-11;8846;APV;-0.26%;1.64%;2.90%;8.77%;1.37%
2023-05-12;8846;APV;-0.44%;1.33%;2.58%;8.27%;1.09%
2023-05-13;8846;APV;-0.53%;1.54%;2.58%;8.19%;1.10%
2023-05-14;8846;APV;-0.49%;1.60%;2.41%;8.16%;1.12%
2023-05-15;8846;APV;-0.70%;1.45%;1.50%;7.91%;0.93%
2023-05-16;8846;APV;-0.64%;1.44%;1.54%;7.93%;1.03%
2023-05-17;8846;APV;-0.34%;1.57%;1.93%;7.94%;1.16%
2023-05-18;8846;APV;-0.39%;1.35%;1.70%;7.73%;0.97%
2023-05-19;8846;APV;-0.25%;1.23%;1.59%;7.38%;0.89%
2023-05-20;8846;APV;-0.31%;1.12%;1.59%;7.25%;0.90%
2023-05-21;8846;APV;-0.15%;1.43%;1.18%;7.22%;0.92%
2023-05-22;8846;APV;-0.39%;1.15%;0.93%;6.96%;0.71%
2023-05-23;8846;APV;-0.54%;0.94%;0.96%;6.72%;0.59%
2023-05-24;8846;APV;-0.31%;1.02%;1.25%;6.71%;0.81%
2023-05-25;8846;APV;-0.83%;0.73%;1.08%;6.46%;0.55%
2023-05-26;8846;APV;-0.80%;0.67%;1.03%;6.54%;0.52%
2023-05-27;8846;APV;-0.66%;0.58%;1.02%;6.47%;0.54%
2023-05-28;8846;APV;-0.78%;0.58%;1.10%;6.44%;0.55%
2023-05-29;8846;APV;-0.68%;0.71%;1.21%;6.54%;0.69%
2023-05-30;8846;APV;-0.71%;0.71%;1.25%;6.56%;0.69%
2023-05-31;8846;APV;-0.49%;0.94%;1.48%;6.74%;0.91%
2023-06-01;8846;APV;-0.38%;1.28%;1.23%;6.83%;1.06%
2023-06-02;8846;APV;-0.42%;1.59%;1.05%;6.88%;1.12%
2023-06-03;8846;APV;-0.54%;1.51%;1.04%;6.92%;1.13%
2023-06-04;8846;APV;-0.50%;1.50%;1.04%;6.89%;1.15%
2023-06-05;8846;APV;-0.13%;1.77%;1.32%;7.16%;1.45%
2023-06-06;8846;APV;-0.05%;1.92%;1.59%;7.36%;1.57%
2023-06-07;8846;APV;-0.12%;1.77%;1.77%;7.25%;1.52%
2023-06-08;8846;APV;-0.10%;1.60%;1.62%;7.34%;1.39%
2023-06-09;8846;APV;0.29%;1.86%;1.71%;7.70%;1.57%
2023-06-10;8846;APV;0.25%;1.53%;1.69%;7.72%;1.58%
2023-06-11;8846;APV;0.21%;1.54%;1.67%;7.69%;1.59%
2023-06-12;8846;APV;0.62%;1.66%;1.89%;7.79%;1.72%
2023-06-13;8846;APV;0.69%;0.94%;1.71%;8.10%;1.80%
2023-06-14;8846;APV;0.71%;1.20%;1.70%;8.15%;1.83%
2023-06-15;8846;APV;1.09%;0.98%;2.01%;7.98%;2.03%
2023-06-16;8846;APV;1.09%;0.98%;2.24%;7.91%;2.13%
2023-06-17;8846;APV;0.97%;0.84%;2.22%;7.75%;2.14%
2023-06-18;8846;APV;1.17%;0.85%;2.20%;7.72%;2.15%
2023-06-19;8846;APV;1.34%;0.92%;2.44%;7.77%;2.24%
2023-06-20;8846;APV;1.77%;1.30%;2.86%;8.05%;2.69%
2023-06-21;8846;APV;1.77%;1.38%;2.92%;8.02%;2.70%
2023-06-22;8846;APV;1.91%;1.31%;2.96%;7.64%;2.63%
2023-06-23;8846;APV;1.95%;1.04%;2.83%;7.31%;2.55%
2023-06-24;8846;APV;1.73%;0.83%;2.81%;7.34%;2.56%
2023-06-25;8846;APV;2.01%;0.84%;2.79%;7.31%;2.57%
2023-06-26;8846;APV;2.05%;0.84%;2.88%;7.28%;2.58%
2023-06-27;8846;APV;2.02%;1.14%;2.74%;7.23%;2.57%
2023-06-28;8846;APV;1.99%;1.00%;2.64%;7.37%;2.55%
2023-06-29;8846;APV;1.78%;0.92%;2.52%;7.13%;2.48%
2023-06-30;8846;APV;1.78%;0.71%;2.48%;6.91%;2.48%
2023-07-01;8846;APV;1.42%;0.63%;2.43%;6.72%;2.49%
2023-07-02;8846;APV;1.37%;0.64%;2.41%;6.69%;2.50%
2023-07-03;8846;APV;1.55%;0.60%;2.62%;6.86%;2.70%
2023-07-04;8846;APV;1.40%;0.56%;2.55%;6.76%;2.57%
2023-07-05;8846;APV;1.04%;0.62%;2.63%;6.36%;2.50%
2023-07-06;8846;APV;0.65%;0.20%;2.26%;5.93%;2.23%
2023-07-07;8846;APV;0.52%;0.02%;2.05%;5.84%;2.05%
2023-07-08;8846;APV;0.66%;0.03%;2.03%;6.02%;2.06%
2023-07-09;8846;APV;0.50%;0.03%;2.01%;6.00%;2.07%
2023-07-10;8846;APV;0.50%;0.21%;1.80%;5.98%;2.08%
2023-07-11;8846;APV;0.38%;0.33%;1.43%;5.66%;1.98%
2023-07-12;8846;APV;0.27%;0.45%;1.17%;5.62%;2.00%
2023-07-13;8846;APV;0.56%;0.71%;1.63%;5.85%;2.37%
2023-07-14;8846;APV;0.46%;0.68%;1.56%;5.50%;2.31%
2023-07-15;8846;APV;0.28%;0.66%;1.55%;5.56%;2.31%
2023-07-16;8846;APV;0.18%;0.64%;1.63%;5.54%;2.32%
2023-07-17;8846;APV;0.31%;0.94%;1.71%;5.66%;2.46%
2023-07-18;8846;APV;0.37%;1.15%;1.78%;5.65%;2.53%
2023-07-19;8846;APV;0.11%;1.20%;1.63%;5.44%;2.35%
2023-07-20;8846;APV;-0.38%;1.07%;1.75%;5.42%;2.30%
2023-07-21;8846;APV;-0.48%;1.13%;1.65%;5.38%;2.21%
2023-07-22;8846;APV;-0.40%;1.10%;1.64%;5.29%;2.22%
