fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-04-13;8910;APV;0.94%;1.48%;6.29%;8.41%;2.11%
2023-04-14;8910;APV;1.12%;1.52%;6.26%;8.09%;2.17%
2023-04-15;8910;APV;0.94%;1.53%;6.27%;8.08%;2.21%
2023-04-16;8910;APV;0.83%;1.57%;6.27%;8.07%;2.25%
2023-04-17;8910;APV;0.67%;1.48%;5.59%;7.95%;2.19%
2023-04-18;8910;APV;0.57%;1.51%;5.36%;7.86%;2.10%
2023-04-19;8910;APV;0.38%;1.12%;5.30%;7.47%;1.92%
2023-04-20;8910;APV;0.14%;0.98%;5.24%;7.26%;1.74%
2023-04-21;8910;APV;-0.04%;0.84%;4.79%;7.32%;1.62%
2023-04-22;8910;APV;0.17%;0.86%;4.80%;7.26%;1.66%
2023-04-23;8910;APV;0.14%;0.89%;4.80%;7.25%;1.69%
2023-04-24;8910;APV;0.09%;1.15%;5.07%;7.37%;1.87%
2023-04-25;8910;APV;0.02%;1.10%;4.91%;7.05%;1.81%
2023-04-26;8910;APV;-0.14%;0.87%;4.77%;7.19%;1.65%
2023-04-27;8910;APV;0.14%;0.90%;4.87%;7.12%;1.72%
2023-04-28;8910;APV;0.14%;0.98%;4.87%;6.97%;1.81%
2023-04-29;8910;APV;0.20%;1.00%;4.87%;7.28%;1.85%
2023-04-30;8910;APV;-0.01%;1.06%;4.88%;7.27%;1.89%
2023-05-01;8910;APV;-0.06%;1.41%;4.85%;7.25%;1.93%
2023-05-02;8910;APV;-0.14%;1.38%;4.83%;7.22%;1.86%
2023-05-03;8910;APV;-0.42%;1.42%;4.80%;7.26%;1.94%
2023-05-04;8910;APV;-0.50%;1.32%;4.42%;7.00%;1.85%
2023-05-05;8910;APV;-0.47%;1.19%;4.28%;7.23%;1.75%
2023-05-06;8910;APV;-0.79%;1.22%;4.29%;7.53%;1.79%
2023-05-07;8910;APV;-0.76%;1.32%;4.16%;7.52%;1.83%
2023-05-08;8910;APV;-0.83%;1.28%;3.83%;7.40%;1.77%
2023-05-09;8910;APV;-0.96%;1.13%;3.41%;7.72%;1.64%
2023-05-10;8910;APV;-0.86%;1.23%;2.86%;7.82%;1.73%
2023-05-11;8910;APV;-0.66%;1.24%;2.69%;7.84%;1.78%
2023-05-12;8910;APV;-0.63%;1.06%;2.51%;7.58%;1.62%
2023-05-13;8910;APV;-0.46%;1.11%;2.51%;7.41%;1.64%
2023-05-14;8910;APV;-0.50%;1.23%;2.42%;7.39%;1.67%
2023-05-15;8910;APV;-0.72%;1.04%;1.68%;7.15%;1.48%
2023-05-16;8910;APV;-0.63%;1.16%;1.64%;7.18%;1.61%
2023-05-17;8910;APV;-0.51%;1.22%;1.66%;6.98%;1.66%
2023-05-18;8910;APV;-0.51%;1.10%;1.51%;7.13%;1.58%
2023-05-19;8910;APV;-0.36%;1.04%;1.46%;7.02%;1.55%
2023-05-20;8910;APV;-0.17%;1.01%;1.45%;7.01%;1.57%
2023-05-21;8910;APV;-0.02%;1.12%;1.19%;6.99%;1.59%
2023-05-22;8910;APV;-0.06%;1.16%;1.16%;6.96%;1.60%
2023-05-23;8910;APV;-0.28%;0.91%;1.14%;6.56%;1.41%
2023-05-24;8910;APV;-0.30%;0.83%;1.38%;6.53%;1.56%
2023-05-25;8910;APV;-0.35%;0.69%;1.26%;6.32%;1.45%
2023-05-26;8910;APV;-0.32%;0.53%;1.10%;6.21%;1.32%
2023-05-27;8910;APV;-0.37%;0.24%;1.10%;6.08%;1.34%
2023-05-28;8910;APV;-0.44%;0.22%;1.28%;6.07%;1.36%
2023-05-29;8910;APV;-0.37%;0.33%;1.41%;6.15%;1.48%
2023-05-30;8910;APV;-0.40%;0.34%;1.42%;6.12%;1.48%
2023-05-31;8910;APV;-0.23%;0.51%;1.60%;6.27%;1.65%
2023-06-01;8910;APV;-0.22%;0.76%;1.48%;6.34%;1.70%
2023-06-02;8910;APV;-0.07%;0.84%;1.51%;6.39%;1.79%
